Program Name;Description;Program Status;Organization Name;Program Population Served;Address Extra Info;Location Address;Local Areas;Provides Meals;Provides Hampers;Delivery Available;Takeout Available;Wheelchair Accessible;Meal Cost;Hamper Cost;Signup Required;Signup Phone Number;Signup Email;Requires Referral;Referral Agency Name;Referral Phone Number;Referral Email;Latitude;Longitude;Last Update Date;geom
The Dugout - Hot Breakfast;Daily hot meal at 10:30am. For info call (604) 685-5239.;Open;The Dugout;;;57 E Hastings St, Vancouver, BC;Downtown;True;False;No;Yes;Unknown;Free;;No;;;No;;;;49.281478;-123.103155;2025-09-18T09:38:37-07:00;49.281478, -123.103155
Gathering Place Community Centre - Meals;Meals every day of the week. Breakfast 9am-noon ($2.25), Lunch 11:30am-4:30pm ($2.75), Dinner 4:30-7pm ($3.50). Menu at https://vancouver.ca/parks-recreation-culture/gathering-place-cafeteria.aspx;Open;Gathering Place Community Centre;;;609 Helmcken St, Vancouver, BC;Downtown;True;False;No;Yes;Yes;Low cost;;No;;;No;;;;49.277708;-123.123799;2024-12-06T01:42:48-08:00;49.277708, -123.123799
Cityview Church - Open Table;Thurs at 12pm. Hot lunch and spiritual service, more info at https://www.cityviewchurch.ca/opentable;Open;Cityview Church;;;4370 Sophia St, Vancouver, BC;Riley Park;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.245928;-123.098691;2024-12-06T01:37:53-08:00;49.245928, -123.098691
DTES Neighbourhood House - Meal Program;Community drop-in: Oatmeal on Mon and Wed at 10am-12pm and hot lunch on Wed at 12:30pm-2pm (open to everyone). Family drop-in: Tuesdays and Thursdays 3:30-6:30PM - afterschool snack and dinner for families/caregivers and their children. Early years drop-in: Friday 9am-11am - breakfast for families/caregivers and their children age 0-6. Peacemeal lunch: Third Sunday of every month from 12pm-1pm. Contact ops@dtesnhouse.ca or call (604) 215-2030 with any questions.;Open;DTES Neighbourhood House;;;573 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.281262;-123.091816;2024-08-23T04:57:29-07:00;49.281262, -123.091816
The Door is Open - Meal Program;Anyone on Mon, Tues, Thurs, Fri, Sat at 11am and Sun at 11:30am. Wed at 9am. More info at https://www.thedoorisopen.ca/free-lunch-program/;Open;The Door is Open;;;255 Dunlevy Ave, Vancouver, BC;Strathcona;True;False;No;Unknown;Unknown;Free;;No;;;No;;;;49.282407;-123.095626;2023-08-28T06:24:02-07:00;49.282407, -123.095626
Salvation Army - Harbour Light, Meal Program;"Mon-Fri at 11am; Sat 4pm.";Open;Salvation Army - Harbour LIght;;;119 E Cordova St, Vancouver, BC;Downtown;True;False;No;Unknown;Yes;Free;;No;;;No;;;;49.282569;-123.100962;2024-12-06T03:58:47-08:00;49.282569, -123.100962
Lookout Society's Powell St. Getaway - Snacks;Daily at 10:30am, 1pm, and 4pm. Coffee 9-10am, 10:30-11am, and 4-5pm.;Open;Lookout Housing and Health Society;;;450 E Hastings St, Vancouver, BC;Strathcona;True;False;No;Yes;Yes;Free;;No;;;No;;;;49.280912;-123.094276;2023-08-28T06:19:32-07:00;49.280912, -123.094276
DTES Women's Centre - Drop In - Takeout Meals;Daily (except Wed) 10-11am, 12-2pm. Coffee and snacks until 4pm.;Open;DTES Women's Centre;women;;302 Columbia St, Vancouver, BC;Downtown;True;False;No;Yes;Yes;Free;;Unknown;;;No;;;;49.281867;-123.102196;2024-12-06T01:39:21-08:00;49.281867, -123.102196
Quest Non-Profit Grocery Markets (Dundas);Mon–Fri 9am–6pm. Sat 10am–5pm. Closed Sunday and Holidays. Referral required to shop. For more information on referrals, please visit:  questoutreach.org/refer-clients/;Open;Quest Food Exchange;;;2020 Dundas St, Vancouver, BC;Grandview-Woodland;False;True;No;No;No;;Low cost;Unknown;;;Unknown;;;;49.284545;-123.062766;2025-10-14T07:47:22-07:00;49.284545, -123.062766
Covenant House - Meal Program;"Hot breakfast M-F 9am-12pm; Hot meal or pizza M-F 3:30-5pm";Open;Covenant House;young people age 16-24;;1302 Seymour St, Vancouver, BC;Downtown;True;False;Unknown;Unknown;Yes;Free;;No;;;No;;;;49.275159;-123.126681;2024-12-06T08:15:33-08:00;49.275159, -123.126681
